Name_1,Mod,Nc,Q,C,Fn,f1,mag1_1,f2,mu02,f3,mag3,f4,mu04,f5,mag5,mstar,dmean,type,t_1,incl,Dist,__T_,__F_
ESO012-010,_dbar,2,5,BAR,ferrer2,,,,,,,0.056,22.177,,,9.632,32.75,SBd,7.7,26.82,,7.0,0.75
ESO013-016,_dbarf,2,5,BAR,ferrer2,,,,,,,0.037,20.882,,,9.564,23.017,SBd,7.5,56.71,23.0,6.0,1.0
ESO026-001,_ndbar,3,5,BAR,ferrer2,,,,,,,0.059,20.202,,,9.373,19.16,SBc,5.9,30.39,19.2,5.5,0.62
ESO027-001,_bdbar,3,5,BAR,ferrer2,,,,,,,0.075,20.555,,,9.999,18.308,SBc,5.0,36.3,18.3,3.5,0.75
ESO048-017,_ndbar,3,5,BAR,ferrer2,,,,,,,0.138,21.755,,,9.202,29.52,SBcd,6.9,62.52,29.5,9.0,1.0
ESO079-007,_dbar,2,5,BAR,ferrer2,,,,,,,0.035,21.733,,,9.471,25.22,SBbc,4.0,39.25,25.2,8.0,1.0
ESO305-009,_dbar,2,5,BAR,ferrer2,,,,,,,0.085,22.926,,,8.784,13.2,SBd,8.0,52.95,13.2,8.0,0.38
ESO345-046,_dbar,2,5,BAR,ferrer2,,,,,,,0.054,22.523,,,9.6,26.7,Scd,7.0,34.5,26.7,7.0,0.25
ESO357-012,_dbar,2,5,BAR,ferrer2,,,,,,,0.058,23.256,,,9.291,22.591,Scd,7.0,41.9,22.6,7.5,0.62
ESO404-012,_dbarn,3,5,BAR,ferrer2,,,,,,,0.1,20.134,,,10.443,36.44,Sc,5.1,38.85,36.4,3.0,0.5
ESO408-012,_dbarn,3,5,BAR,ferrer2,,,,,,,0.069,22.907,,,9.724,56.6,SABc,6.8,60.67,56.6,8.5,0.5
ESO418-009,_dbarf,2,5,BAR,ferrer2,,,,,,,0.011,21.931,,,9.134,18.0,IB,9.8,36.74,,6.5,0.88
ESO422-041,_dbar,2,5,BAR,ferrer2,,,,,,,0.054,21.687,,,8.891,10.8,SABd,8.5,27.09,,7.0,0.12
ESO440-011,_dbarf,2,5,BAR,ferrer2,,,,,,,0.023,20.968,,,10.031,27.6,Scd,6.9,52.89,27.6,6.0,1.0
ESO443-069,_dbar,2,5,BAR,ferrer2,,,,,,,0.061,20.075,,,10.102,34.8,SBc,6.0,43.51,34.8,,
ESO445-089,_dbarn,3,5,BAR,ferrer2,,,,,,,0.067,20.782,,,10.093,36.3,SBcd,6.7,34.59,36.3,7.0,1.0
ESO482-035,_dbarf,2,5,BAR,ferrer2,,,,,,,0.065,20.638,,,9.811,27.34,Sab,2.2,52.19,27.3,4.5,1.0
ESO485-021,_dnbar,3,5,BAR,ferrer2,,,,,,,0.065,22.659,,,9.148,16.0,Sd,8.2,53.44,16.0,5.5,0.62
ESO505-013,_dbarn,3,5,BAR,ferrer2,,,,,,,0.073,22.504,,,9.611,25.7,Sd,8.5,36.24,25.7,,
ESO508-024,_dbar,2,5,BAR,ferrer2,,,,,,,0.049,19.418,,,10.194,40.0,SBc,5.0,35.11,,5.0,0.5
ESO510-059,_dbar,2,5,BAR,ferrer2,,,,,,,0.102,20.312,,,9.845,33.6,SBc,5.9,48.52,33.6,5.0,1.0
ESO532-022,_dbarf,2,5,BAR,ferrer2,,,,,,,0.041,22.033,,,9.281,30.38,Sc,5.5,61.64,30.4,7.0,0.75
ESO576-032,_dbarn,3,5,BAR,ferrer2,,,,,,,0.024,20.091,,,10.139,29.1,Sc,5.8,46.59,29.1,5.0,1.0
IC0529,_dbarn,3,5,BAR,ferrer2,,,,,,,0.045,20.387,,,10.36,33.665,Sc,5.2,63.77,,5.5,0.25
IC0749,_dbarfn,3,5,BAR,ferrer2,,,,,,,0.011,21.024,,,10.344,34.48,Sc,5.9,37.69,34.5,6.0,1.0
IC0758,_dbar,2,5,BAR,ferrer2,,,,,,,0.07,21.541,,,9.551,26.7,Sc,6.0,64.7,26.7,8.0,1.0
IC0769,_dbarn,3,5,BAR,ferrer2,,,,,,,0.035,20.104,,,10.216,42.611,Sbc,4.0,48.32,42.6,3.5,0.5
IC0797,_dbarfn,3,5,BAR,ferrer2,,,,,,,0.019,21.59,,,9.41,18.2,Sc,6.0,47.98,18.2,8.0,0.5
IC0800,_dbarf,2,5,BAR,ferrer2,,,,,,,0.039,20.884,,,10.525,68.6,Sc,5.2,44.15,68.6,9.0,1.0
IC1438,_bdbar,3,5,BAR,ferrer2,,,,,,,0.191,20.376,,,10.487,33.8,Sa,1.2,23.81,33.8,0.0,0.5
IC1870,_dbar,2,5,BAR,ferrer2,,,,,,,0.093,21.856,,,9.408,17.8,Sm,9.0,63.27,,8.5,1.0
IC1914,_dbarn,3,5,BAR,ferrer2,,,,,,,0.064,22.032,,,9.347,18.137,SABc,6.9,42.85,18.1,5.5,0.12
IC1933,_dbar,2,5,BAR,ferrer2,,,,,,,0.033,20.355,,,9.588,20.091,Sc,6.2,59.43,20.1,9.5,1.0
IC1953,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.032,20.291,,,10.149,24.64,Sc,6.2,59.84,,5.0,1.0
IC1954,_dbar,2,5,BAR,ferrer2,,,,,,,0.03,18.427,,,9.959,15.287,Sb,3.2,57.83,15.3,6.0,1.0
IC2035,_dbarn,3,5,BAR,ferrer2,,,,,,,0.157,17.071,,,9.975,16.5,E-S0,-2.6,40.64,16.5,-2.5,0.5
IC2051,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.028,19.931,,,10.578,23.89,SBbc,4.1,55.19,,3.0,0.88
IC3115,_dbar,2,5,BAR,ferrer2,,,,,,,0.028,21.859,,,9.29,19.333,Sc,5.5,46.42,23.0,6.0,1.0
IC3476,_dbar,2,5,BAR,ferrer2,,,,,,,0.138,21.204,,,9.194,13.45,IB,9.6,51.2,17.0,9.0,0.38
IC3517,_dbarf,2,5,BAR,ferrer2,,,,,,,0.014,23.407,,,8.808,23.267,SABm,8.5,59.47,17.0,8.5,0.75
IC3521,_dbar,2,5,BAR,ferrer2,,,,,,,0.247,20.265,,,9.373,16.7,IB,9.9,48.01,17.0,10.0,1.0
IC4214,_bdbar,3,5,BAR,ferrer2,,,,,,,0.247,19.684,,,10.708,27.3,SBa,1.4,55.61,27.3,0.0,0.12
IC4237,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.019,19.397,,,10.533,40.073,SBb,3.5,51.7,40.1,3.0,1.0
IC4536,_dbarn,3,5,BAR,ferrer2,,,,,,,0.032,21.335,,,9.984,33.4,SBcd,7.4,54.24,,7.0,1.0
IC5007,_dbarf,2,5,BAR,ferrer2,,,,,,,0.049,19.442,,,10.221,34.043,Scd,6.7,52.23,34.0,8.0,1.0
IC5240,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.027,21.38,,,10.455,25.36,SBa,1.1,49.59,25.4,0.0,1.0
IC5270,_dbar,2,5,BAR,ferrer2,,,,,,,0.04,18.457,,,10.055,22.647,SBc,5.7,58.21,22.7,7.0,1.0
IC5273,_dbar,2,5,BAR,ferrer2,,,,,,,0.036,17.194,,,10.029,16.557,SBc,5.7,50.95,16.6,5.5,1.0
NGC0210,_bdbar,3,5,BAR,ferrer2,,,,,,,0.214,20.326,,,10.437,20.983,SABb,3.1,55.36,21.0,2.0,0.5
NGC0254,_bdbar,3,5,BAR,ferrer2,,,,,,,0.163,20.592,,,10.064,17.1,S0-a,-1.2,57.37,17.1,-1.0,0.38
NGC0255,_ndbar,3,5,BAR,ferrer2,,,,,,,0.04,19.368,,,9.798,20.0,Sbc,4.1,26.16,20.0,6.5,1.0
NGC0289,_ndbar,3,5,BAR,ferrer2,,,,,,,0.064,18.189,,,10.631,22.767,SBbc,4.0,42.95,22.8,1.5,0.62
NGC0337,_dbar,2,5,BAR,ferrer2,,,,,,,0.108,20.185,,,10.211,22.129,SBcd,6.7,50.64,22.1,6.0,0.5
NGC0337A,_dbar,2,5,BAR,ferrer2,,,,,,,0.074,22.293,,,9.241,13.7,SABd,8.0,56.12,13.7,9.0,0.5
NGC0428,_dbarn,3,5,BAR,ferrer2,,,,,,,0.073,21.798,,,9.759,14.66,SABm,8.6,47.89,14.7,8.0,0.38
NGC0450,_dbar,2,5,BAR,ferrer2,,,,,,,0.053,20.126,,,9.699,20.05,SABc,5.8,49.76,20.1,6.5,0.5
NGC0578,_dbarn,3,5,BAR,ferrer2,,,,,,,0.04,19.854,,,10.321,21.841,Sc,5.0,54.32,21.8,6.0,0.88
NGC0600,_dbar,2,5,BAR,ferrer2,,,,,,,0.072,20.223,,,9.793,22.9,Scd,7.0,13.27,22.9,6.5,1.0
NGC0613,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.124,19.632,,,11.087,25.125,Sbc,4.0,35.71,25.1,3.0,1.0
NGC0685,_dbar,2,5,BAR,ferrer2,,,,,,,0.039,20.41,,,9.853,15.2,Sc,5.4,41.3,,6.5,1.0
NGC0701,_dbar,2,5,BAR,ferrer2,,,,,,,0.109,17.752,,,10.156,22.711,SBc,5.0,62.44,,7.0,1.0
NGC0718,_bdbar,3,5,BAR,ferrer2,,,,,,,0.121,20.215,,,10.283,21.4,Sa,1.0,28.2,21.4,1.0,0.5
NGC0864,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.042,20.599,,,10.184,18.767,SABc,5.1,47.58,18.8,4.0,0.62
NGC0936,_bdbar,3,5,BAR,ferrer2,,,,,,,0.108,19.832,,,10.926,20.683,S0-a,-1.2,50.51,20.7,-1.0,1.0
NGC0941,_dbarn,3,5,BAR,ferrer2,,,,,,,0.107,21.497,,,9.903,27.34,SABc,5.3,45.69,27.3,5.0,0.12
NGC0986,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.177,19.475,,,10.441,17.15,Sab,2.4,38.04,17.2,2.0,1.0
NGC0991,_ndbar,3,5,BAR,ferrer2,,,,,,,0.025,21.743,,,9.68,18.8,SABc,5.0,28.13,18.8,5.5,0.5
NGC1015,_bdbar,3,5,BAR,ferrer2,,,,,,,0.118,20.109,,,10.392,33.1,Sa,1.0,34.25,,0.0,1.0
