Name_1,Mod,Nc,Q,C,Fn,f1,mag1_1,f2,mu02,f3,mag3,f4,mu04,f5,mag5,mag1_2,mag2,mstar,dmean,type,t_1,incl,Dist,__T_,__F_
ESO012-010,_dbar,2,5,BAR,ferrer2,,,,,,,0.056,22.177,,,13.88,14.343,9.632,32.75,SBd,7.7,26.82,,7.0,0.75
ESO013-016,_dbarf,2,5,BAR,ferrer2,,,,,,,0.037,20.882,,,13.127,13.506,9.564,23.017,SBd,7.5,56.71,23.0,6.0,1.0
ESO026-001,_ndbar,3,5,BAR,ferrer2,,,,,,,0.059,20.202,,,13.387,13.864,9.373,19.16,SBc,5.9,30.39,19.2,5.5,0.62
ESO027-001,_bdbar,3,5,BAR,ferrer2,,,,,,,0.075,20.555,,,11.515,11.879,9.999,18.308,SBc,5.0,36.3,18.3,3.5,0.75
ESO048-017,_ndbar,3,5,BAR,ferrer2,,,,,,,0.138,21.755,,,14.726,15.188,9.202,29.52,SBcd,6.9,62.52,29.5,9.0,1.0
ESO079-007,_dbar,2,5,BAR,ferrer2,,,,,,,0.035,21.733,,,13.57,13.956,9.471,25.22,SBbc,4.0,39.25,25.2,8.0,1.0
ESO238-018,_dbar,2,5,BAR,ferrer2,,,,,,,0.042,21.242,,,14.527,14.992,9.517,,Sc,5.5,32.37,39.4,8.0,0.75
ESO287-037,_dbar,2,5,BAR,ferrer2,,,,,,,0.067,22.205,,,13.594,13.938,9.693,,SBm,8.5,32.77,34.6,8.0,0.62
ESO305-009,_dbar,2,5,BAR,ferrer2,,,,,,,0.085,22.926,,,13.818,14.17,8.784,13.2,SBd,8.0,52.95,13.2,8.0,0.38
ESO340-017,_dbar,2,5,BAR,ferrer2,,,,,,,0.219,19.955,,,13.626,14.074,9.782,,SBd,8.0,64.13,35.0,7.0,1.0
ESO341-032,_dbar,2,5,BAR,ferrer2,,,,,,,0.024,21.862,,,13.692,14.094,9.763,,SBm,9.0,26.27,36.8,8.5,0.5
ESO345-046,_dbar,2,5,BAR,ferrer2,,,,,,,0.054,22.523,,,13.478,13.921,9.6,26.7,Scd,7.0,34.5,26.7,7.0,0.25
ESO357-012,_dbar,2,5,BAR,ferrer2,,,,,,,0.058,23.256,,,13.881,14.321,9.291,22.591,Scd,7.0,41.9,22.6,7.5,0.62
ESO404-012,_dbarn,3,5,BAR,ferrer2,,,,,,,0.1,20.134,,,12.049,12.495,10.443,36.44,Sc,5.1,38.85,36.4,3.0,0.5
ESO408-012,_dbarn,3,5,BAR,ferrer2,,,,,,,0.069,22.907,,,15.085,15.683,9.724,56.6,SABc,6.8,60.67,56.6,8.5,0.5
ESO418-009,_dbarf,2,5,BAR,ferrer2,,,,,,,0.011,21.931,,,13.732,14.145,9.134,18.0,IB,9.8,36.74,,6.5,0.88
